tp_fundo,cnpj_fundo,denom_social,dt_reg,dt_const,cd_cvm,dt_cancel,sit,dt_ini_sit,dt_ini_ativ,dt_ini_exerc,dt_fim_exerc,classe,dt_ini_classe,rentab_fundo,condom,fundo_cotas,fundo_exclusivo,trib_lprazo,publico_alvo,entid_invest,taxa_perfm,inf_taxa_perfm,taxa_adm,inf_taxa_adm,vl_patrim_liq,dt_patrim_liq,diretor,cnpj_admin,admin,pf_pj_gestor,cpf_cnpj_gestor,gestor,cnpj_auditor,auditor,cnpj_custodiante,custodiante,cnpj_controlador,controlador,invest_cempr_exter,classe_anbima,idade_anos
FIF,07.143.386/0001-30,"FUNDO BASA DE INVESTIMENTO FINANCEIRO CURTO PRAZO ""2""",2004-11-16,2004-11-16,53031.0,,EM FUNCIONAMENTO NORMAL,2004-11-16,2004-11-16,2026-01-01,2026-12-31,,,,,,,,,,,,,,614165.85,2023-06-13,,04.902.979/0001-44,BANCO DA AMAZÔNIA S.A.,,,,61.366.936/0001-25,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,,,,,,,21.503080082135522
FIF,07.144.604/0001-50,"FUNDO BASA DE INVESTIMENTO FINANCEIRO SELETO ""2""",2004-11-16,2004-11-16,53040.0,,EM FUNCIONAMENTO NORMAL,2004-11-16,2004-11-16,2026-01-01,2026-12-31,,,,,,,,,,,,,,1479388.51,2023-06-13,,04.902.979/0001-44,BANCO DA AMAZÔNIA S.A.,,,,61.366.936/0001-25,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,,,,,,,21.503080082135522
FII,01.356.517/0001-80,LAGRA FII,1996-07-24,1996-07-24,396016.0,,EM FUNCIONAMENTO NORMAL,1998-03-11,1998-03-11,2026-01-01,2026-12-31,FII,1996-07-24,,Fechado,N,,,Qualificado,N,,,,,196175979.05,2026-04-30,,,,,,,42.165.506/0001-09,AUDIPEC AUDITORIA E PERÍCIA CONTÁBIL S/S,,,,,,,29.817932922655714
FII,01.964.775/0001-40,FII GEO GUARARAPES,1997-06-11,1997-06-11,397012.0,,EM FUNCIONAMENTO NORMAL,1998-03-11,1998-03-11,,,FII,1997-06-11,,Fechado,N,,,Qualificado,N,,,,,1563592.71,2026-04-30,,50.585.090/0001-06,BCV - BANCO DE CRÉDITO E VAREJO S.A.,,,,52.803.244/0001-06,KPMG AUDITORES ASSOCIADOS,,,,,,,28.93634496919918
FII,05.437.916/0001-27,FII EUROPAR Responsabilidade Limitada,2002-12-10,2002-12-10,302006.0,,EM FUNCIONAMENTO NORMAL,2002-12-10,2002-12-10,2026-01-01,2026-12-31,FII,2002-12-10,,Fechado,N,,,Qualificado,N,,,,,161458336.98,2026-04-30,,00.336.036/0001-40,COINVALORES CCVM LTDA,,,,81.144.818/0001-80,MOORE METRI AUDITORES LTDA,,,,,,,23.43874058863792
FII,14.217.108/0001-45,FII INDUSTRIAL DO BRASIL RESPONSABILIDADE LIMITADA,2011-11-16,2011-11-16,310018.0,,EM FUNCIONAMENTO NORMAL,2011-11-16,2011-11-16,2026-01-01,2026-12-31,FII,2010-10-18,,Fechado,N,,,Qualificado,N,,,,,405068000.9,2026-04-30,,00.336.036/0001-40,COINVALORES CCVM LTDA,,,,81.144.818/0001-80,MOORE METRI AUDITORES LTDA,,,,,,,14.505133470225873
FII,39.347.413/0001-82,Fundo de Investimento Imobiliário Hospital Unimed Campina Grande Responsabilidade Limitada,2020-10-09,2020-10-05,320094.0,,EM FUNCIONAMENTO NORMAL,2020-12-22,2020-12-22,2026-01-01,2026-12-31,FII,2020-10-05,,Fechado,N,,,Qualificado,N,,,,,143852831.16,2026-04-30,,00.336.036/0001-40,COINVALORES CCVM LTDA,PJ,31.681.693/0001-59,INVESTCOOP ASSET MANAGEMENT LTDA.,81.144.818/0001-80,MOORE METRI AUDITORES LTDA,,,,,,,5.607118412046543
FII,41.114.606/0001-35,FUNDO DE INVESTIMENTO  IMOBILIÁRIO UNIMED INVESTCOOP NACIONAL  RESPONSABILIDADE LIMITADA,2021-03-09,2021-03-09,321026.0,,EM FUNCIONAMENTO NORMAL,2021-04-20,2021-04-20,2026-01-01,2026-12-31,FII,2021-03-09,,Fechado,N,,,,N,,,,,325683281.92,2026-04-30,,00.336.036/0001-40,COINVALORES CCVM LTDA,PJ,31.681.693/0001-59,INVESTCOOP ASSET MANAGEMENT LTDA.,81.144.818/0001-80,MOORE METRI AUDITORES LTDA,,,,,,,5.193702943189596
FII,16.685.929/0001-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO MACAM SHOPPING RESPONSABILIDADE LIMITADA,2023-02-13,2023-02-13,323011.0,,EM FUNCIONAMENTO NORMAL,2023-02-13,2023-02-13,2026-01-01,2026-12-31,FII,2023-02-13,,Fechado,N,,,Qualificado,N,,,,,470128577.55,2026-04-30,,33.886.862/0001-12,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",PJ,47.917.164/0001-41,BLUEMAC ASSET MANAGEMENT LTDA,57.755.217/0001-29,KPMG AUDITORES INDEPENDENTES LTDA.,33.886.862/0001-12,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",,,,,3.260780287474333
FIP,21.331.225/0001-09,EDUCAÇÃO BR FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES - MULTIESTRATÉGIA,2015-02-10,2015-03-03,115009.0,,EM FUNCIONAMENTO NORMAL,2015-09-29,2015-09-29,2025-04-01,2026-03-31,FIP Multi,2017-06-22,,Fechado,N,,,Qualificado,N,,,,,-1519081.16,2019-06-30,,42.066.258/0001-30,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,PJ,42.066.258/0001-30,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,22.159.187/0001-03,BEAUDIT INTERNATIONAL AUDITORES INDEPENDENTES,60.746.948/0001-12,BANCO BRADESCO S.A.,,,,,11.268993839835728
FIP,17.213.759/0001-55,FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES FONTAINE VILLE URBANISMO MULTIESTRATÉGIA,2013-05-20,2013-05-27,113056.0,,EM FUNCIONAMENTO NORMAL,2014-05-21,2014-05-21,2025-05-01,2026-04-30,FIP Multi,2017-08-04,,Fechado,N,,,Qualificado,S,,,,,332436812.15,2024-04-30,,27.463.343/0001-49,MDL TRUST SERVIÇOS FIDUCIÁRIOS LTDA.,PJ,08.882.311/0001-33,ARENA CAPITAL GESTORA DE RECURSOS LTDA,42.170.852/0001-77,UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES,30.723.886/0001-62,BANCO MODAL S.A.,,,,,12.996577686516085
FIP,39.976.918/0001-06,OCA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM EMPRESAS EMERGENTES,2021-01-07,2020-11-23,121002.0,,EM FUNCIONAMENTO NORMAL,2021-02-11,2021-02-11,2026-01-01,2026-12-31,FIP Multi,2020-11-23,,Fechado,N,,,Qualificado,S,,,,,44166648.86,2026-04-30,,52.230.344/0001-90,NORONHA TRUST LTDA.,PJ,52.230.344/0001-90,NORONHA TRUST LTDA.,16.549.480/0001-84,RSM BRASIL AUDITORES INDEPENDENTES LTDA.,62.232.889/0001-90,BANCO DAYCOVAL S.A.,,,,,5.360711841204655
